Corretora,Estratégia,Nome,Data início,D+,Data Resgate
,,,,,
Toro,FI Ações,Charles River FIA,7/9/2022,32,
Toro,FI Ações,Ibovespa,5/18/2023,2,
Binance,Cripto,BTC,5/14/2019,0,
Binance,Cripto,SOL,5/14/2019,0,
Binance,Cripto,SUI,11/18/2024,0,
XP,FI Inter,XLU,6/15/2023,0,
XP,FI Inter,GLDM,6/15/2023,0,
XP,FI Inter,VGK,6/15/2023,0,
XP,FI Inter,XLV,6/15/2023,0,
XP,FI Inter,IWD,6/15/2023,0,
XP,FI Inter,XLC,6/15/2023,0,
XP,FI Inter,VIG,6/15/2023,0,
XP,RF Pós Fix,CDB 5a 14.1%,9/28/2023,1300,
XP,RF Pós Fix,LCD 85% - BRDE,12/11/2024,270,
XP,FI Ações,Guepardo FIA,3/30/2022,32,
XP,RF Pós Fix,Daycoval Classic CP,10/4/2024,1,
XP,FI Inter,West Asset BDR,2/7/2024,4,
XP,RF Pós Fix,XP CDI Debêntures,4/29/2024,61,
XP,RF Pós Fix,Schroder CP HG,12/23/2021,1,
XP,RF Pós Fix,Trend Investback,4/6/2022,0,
XP,RF Pós Fix,Ibiuna CP,9/29/2021,31,
XP,FI Multi,Real Investor FIM,2/9/2024,30,
XP,RF Pós Fix,Legacy FIM CP,4/29/2024,45,
XP,RF Pós Fix,JGP Deb FIM CP,8/9/2023,30,
XP,FI Ações,Tarpon GT 90 FIA,11/9/2023,90,
MB,RF Pré Fix,Ascensus 15 18%,2/7/2025,215,
99 Bank,RF Pós Fix,Contas Correntes,3/19/2019,0,
 .,FI Inter,URA,6/15/2023,,2/25/2025
 .,FI Inter,XLRE,6/15/2023,,2/13/2025
 .,RF Pós Fix,LCI 84% - Banestes,1/17/2025,,2/13/2025
 .,RF Pós Fix,TD 2027 15.34%,12/18/2024,,2/7/2025
 .,RF Pós Fix,LCI 87%,4/4/2024,,1/16/2025
 .,RF Pós Fix,LCI 86% - CNH,6/11/2024,,12/23/2024
 .,FI Multi,Tavola Equity 15 FIM,10/9/2023,,12/9/2024
 .,FI Multi,Exploritas Alpha LA FIM,5/18/2023,,11/22/2024
 .,FI Multi,Kapitalo K10 FIM,12/28/2022,,11/17/2024
 .,RF Pós Fix,LCI 85% - Robobank,9/20/2024,,10/31/2024
 .,FI Ações,ETF,9/16/2024,,10/5/2024
 .,RF Pré Fix,Icatu Vanguarda FIRF,7/5/2023,,10/24/2024
 .,RF Pré Fix,Tesouro LTN 2029,4/2/2023,,10/4/2024
 .,FI Multi,Ibiuna long short FIM,1/28/2021,,7/23/2024
 .,FI Multi,ASA Hedge FIM,8/4/2022,,7/23/2024
 .,RF Pós Fix,LCI 86% - Bocom,6/11/2024,,9/12/2024
 .,RF Pré Fix,CDB 15%,6/15/2023,,7/10/2024
 .,,Antigos,,,